Finland,Western Europe,7.809,10.639,0.954,71.901,0.949,-0.059,0.195
Denmark,Western Europe,7.646,10.774,0.956,72.403,0.951,0.066,0.168
Switzerland,Western Europe,7.560,10.980,0.943,74.102,0.921,0.106,0.304
Iceland,Western Europe,7.504,10.773,0.975,73.000,0.949,0.247,0.712
Norway,Western Europe,7.488,11.088,0.952,73.201,0.956,0.135,0.263
Netherlands,Western Europe,7.449,10.813,0.939,72.301,0.909,0.208,0.365
Sweden,Western Europe,7.353,10.759,0.926,72.601,0.939,0.112,0.251
New Zealand,North America and ANZ,7.300,10.501,0.949,73.203,0.936,0.192,0.221
Austria,Western Europe,7.294,10.743,0.928,73.003,0.900,0.085,0.500
Luxembourg,Western Europe,7.238,11.451,0.907,72.600,0.906,-0.005,0.367
Canada,North America and ANZ,7.232,10.692,0.927,73.602,0.934,0.125,0.391
Australia,North America and ANZ,7.223,10.721,0.945,73.605,0.915,0.190,0.415
United Kingdom,Western Europe,7.165,10.600,0.937,72.302,0.835,0.264,0.436
Israel,Middle East and North Africa,7.129,10.418,0.914,73.200,0.748,0.103,0.781
Costa Rica,Latin America and Caribbean,7.121,9.658,0.902,71.300,0.935,-0.102,0.786
Ireland,Western Europe,7.094,11.161,0.942,72.301,0.887,0.146,0.357
Germany,Western Europe,7.076,10.733,0.899,72.202,0.867,0.080,0.456
United States,North America and ANZ,6.940,10.926,0.914,68.299,0.843,0.150,0.700
Czech Republic,Central and Eastern Europe,6.911,10.404,0.914,70.048,0.819,-0.231,0.858
Belgium,Western Europe,6.864,10.674,0.912,72.002,0.814,-0.079,0.612
United Arab Emirates,Middle East and North Africa,6.791,11.110,0.849,67.083,0.941,0.123,0.595
Malta,Western Europe,6.773,10.534,0.930,72.200,0.925,0.215,0.659
France,Western Europe,6.664,10.584,0.937,73.802,0.825,-0.131,0.584
Mexico,Latin America and Caribbean,6.465,9.798,0.839,68.299,0.859,-0.175,0.807
Taiwan Province of China,East Asia,6.455,10.776,0.894,69.600,0.772,-0.073,0.732
Uruguay,Latin America and Caribbean,6.440,9.948,0.923,69.003,0.892,-0.101,0.636
Saudi Arabia,Middle East and North Africa,6.406,10.798,0.874,66.305,0.854,-0.169,0.683
Spain,Western Europe,6.401,10.463,0.921,74.403,0.752,-0.051,0.766
Guatemala,Latin America and Caribbean,6.399,8.925,0.817,64.809,0.908,-0.043,0.783
Italy,Western Europe,6.387,10.482,0.890,73.602,0.665,-0.043,0.873
Singapore,Southeast Asia,6.377,11.396,0.910,76.805,0.927,0.030,0.110
Brazil,Latin America and Caribbean,6.376,9.566,0.897,66.480,0.800,-0.102,0.771
Slovenia,Central and Eastern Europe,6.363,10.392,0.940,71.103,0.936,-0.081,0.817
El Salvador,Latin America and Caribbean,6.348,8.909,0.806,66.108,0.834,-0.121,0.754
Kosovo,Central and Eastern Europe,6.325,9.204,0.821,63.886,0.862,0.191,0.922
Panama,Latin America and Caribbean,6.305,10.034,0.902,69.603,0.880,-0.154,0.852
Slovakia,Central and Eastern Europe,6.281,10.348,0.922,68.906,0.750,-0.124,0.918
Uzbekistan,Commonwealth of Independent States,6.258,8.740,0.927,65.108,0.975,0.248,0.501
Chile,Latin America and Caribbean,6.228,10.032,0.880,69.901,0.745,-0.066,0.838
Bahrain,Middle East and North Africa,6.227,10.676,0.876,68.500,0.906,0.134,0.739
Lithuania,Central and Eastern Europe,6.215,10.344,0.926,67.294,0.747,-0.220,0.810
Trinidad and Tobago,Latin America and Caribbean,6.192,10.260,0.915,63.500,0.858,0.001,0.912
Poland,Central and Eastern Europe,6.186,10.265,0.874,69.311,0.862,-0.205,0.687
Colombia,Latin America and Caribbean,6.163,9.500,0.884,67.700,0.836,-0.161,0.865
Cyprus,Western Europe,6.159,10.406,0.806,73.702,0.780,0.044,0.856
Nicaragua,Latin America and Caribbean,6.137,8.493,0.857,67.507,0.864,0.021,0.666
Romania,Central and Eastern Europe,6.124,10.108,0.825,67.207,0.843,-0.198,0.934
Kuwait,Middle East and North Africa,6.102,11.090,0.846,66.768,0.872,-0.100,0.761
Mauritius,Sub-Saharan Africa,6.101,9.957,0.910,66.404,0.890,-0.018,0.805
Kazakhstan,Commonwealth of Independent States,6.058,10.115,0.935,64.610,0.812,-0.068,0.764
Estonia,Central and Eastern Europe,6.022,10.340,0.935,68.605,0.878,-0.112,0.623
Philippines,Southeast Asia,6.006,8.994,0.847,61.927,0.915,-0.105,0.734
