Finland,Western Europe,7.842,10.775,0.954,72.000,0.949,-0.098,0.186,0.272,0.740
Denmark,Western Europe,7.620,10.933,0.954,72.700,0.946,0.030,0.179,0.283,0.736
Switzerland,Western Europe,7.571,11.117,0.942,74.400,0.919,0.025,0.292,0.331,0.781
Iceland,Western Europe,7.554,10.878,0.983,73.000,0.955,0.160,0.673,0.264,0.509
Netherlands,Western Europe,7.464,10.932,0.942,72.400,0.913,0.175,0.338,0.281,0.753
Norway,Western Europe,7.392,11.053,0.954,73.300,0.960,0.093,0.270,0.280,0.785
Sweden,Western Europe,7.363,10.867,0.934,72.700,0.945,0.086,0.237,0.303,0.872
Luxembourg,Western Europe,7.324,11.647,0.908,72.600,0.907,-0.034,0.386,0.359,0.670
New Zealand,North America and ANZ,7.277,10.643,0.948,73.400,0.929,0.134,0.242,,0.699
Austria,Western Europe,7.268,10.906,0.934,73.300,0.908,0.042,0.481,0.308,0.735
Australia,North America and ANZ,7.183,10.796,0.940,73.900,0.914,0.159,0.442,0.347,0.656
Israel,Middle East and North Africa,7.157,10.575,0.939,73.503,0.800,0.031,0.753,0.387,0.734
Germany,Western Europe,7.155,10.873,0.903,72.500,0.875,0.011,0.460,0.324,0.779
Canada,North America and ANZ,7.103,10.776,0.926,73.800,0.915,0.089,0.415,0.333,0.719
Ireland,Western Europe,7.085,11.342,0.947,72.400,0.879,0.077,0.363,0.308,0.800
Costa Rica,Latin America and Caribbean,7.069,9.880,0.891,71.400,0.934,-0.126,0.809,0.481,0.799
United Kingdom,Western Europe,7.064,10.707,0.934,72.500,0.859,0.233,0.459,0.350,0.717
Czech Republic,Central and Eastern Europe,6.965,10.556,0.947,70.807,0.858,-0.208,0.868,0.248,0.777
United States,North America and ANZ,6.951,11.023,0.920,68.200,0.837,0.098,0.698,0.420,0.850
Belgium,Western Europe,6.834,10.823,0.906,72.199,0.783,-0.153,0.646,0.272,0.603
France,Western Europe,6.690,10.704,0.942,74.000,0.822,-0.147,0.571,0.324,0.700
Bahrain,Middle East and North Africa,6.647,10.669,0.862,69.495,0.925,0.089,0.722,,0.889
Malta,Western Europe,6.602,10.674,0.931,72.200,0.927,0.133,0.653,0.288,0.617
Taiwan Province of China,East Asia,6.584,10.871,0.898,69.600,0.784,-0.070,0.721,,0.708
United Arab Emirates,Middle East and North Africa,6.561,11.085,0.844,67.333,0.932,0.074,0.589,0.260,0.888
Saudi Arabia,Middle East and North Africa,6.494,10.743,0.891,66.603,0.877,-0.149,0.684,,0.867
Spain,Western Europe,6.491,10.571,0.932,74.700,0.761,-0.081,0.745,0.348,0.692
Italy,Western Europe,6.483,10.623,0.880,73.800,0.693,-0.084,0.866,0.362,0.665
Slovenia,Central and Eastern Europe,6.461,10.529,0.948,71.400,0.949,-0.101,0.806,0.244,0.671
Guatemala,Latin America and Caribbean,6.435,9.053,0.813,64.958,0.906,-0.038,0.775,0.465,
Uruguay,Latin America and Caribbean,6.431,9.966,0.925,69.100,0.896,-0.092,0.590,0.395,0.772
Singapore,Southeast Asia,6.377,11.488,0.915,76.953,0.927,-0.018,0.082,,0.783
Kosovo,Central and Eastern Europe,6.372,9.318,0.821,63.813,0.869,0.257,0.917,,
Slovakia,Central and Eastern Europe,6.331,10.369,0.936,69.201,0.766,-0.124,0.911,0.248,0.503
Brazil,Latin America and Caribbean,6.330,9.577,0.882,66.601,0.804,-0.071,0.756,0.531,0.890
Mexico,Latin America and Caribbean,6.317,9.859,0.831,68.597,0.862,-0.147,0.799,0.451,0.805
Jamaica,Latin America and Caribbean,6.309,9.186,0.877,67.500,0.890,-0.137,0.884,0.400,0.820
Lithuania,Central and Eastern Europe,6.255,10.499,0.935,67.906,0.773,-0.203,0.826,0.356,0.710
Cyprus,Western Europe,6.223,10.576,0.802,73.898,0.763,-0.015,0.844,0.324,0.807
Estonia,Central and Eastern Europe,6.189,10.481,0.941,68.800,0.909,-0.106,0.527,0.301,0.738
Panama,Latin America and Caribbean,6.180,10.350,0.896,69.652,0.872,-0.166,0.856,0.497,0.825
Uzbekistan,Commonwealth of Independent States,6.179,8.836,0.918,65.255,0.970,0.311,0.515,0.320,
Chile,Latin America and Caribbean,6.172,10.071,0.882,70.000,0.742,-0.044,0.830,0.445,0.797
